image_path,label
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\10870\20130428_130801.jpg,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\ValidationImages\Skyfinder\10870.png
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\10870\20130519_163800.jpg,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\ValidationImages\Skyfinder\10870.png
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\10870\20130614_030806.jpg,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\ValidationImages\Skyfinder\10870.png
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\10870\20130930_103800.jpg,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\ValidationImages\Skyfinder\10870.png
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\10870\20131025_163807.jpg,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\ValidationImages\Skyfinder\10870.png
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\5020\20130907_204527.jpg,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\ValidationImages\Skyfinder\5020.png
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\8438\20130105_141642.jpg,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\ValidationImages\Skyfinder\8438.png
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\8733\20131006_103638.jpg,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\ValidationImages\Skyfinder\8733.png
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\8733\20131011_060637.jpg,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\ValidationImages\Skyfinder\8733.png
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\8733\20131012_170640.jpg,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\ValidationImages\Skyfinder\8733.png
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\8733\20131104_073637.jpg,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\ValidationImages\Skyfinder\8733.png
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\8733\20131128_120636.jpg,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\ValidationImages\Skyfinder\8733.png
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\8733\20131208_083640.jpg,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\ValidationImages\Skyfinder\8733.png
C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\OriginalImages\8733\20131210_113636.jpg,C:\Users\cjbla\OneDrive\Desktop\Code\data\dataset\ValidationImages\Skyfinder\8733.png
