precision,recall,time_taken
9.946166872978210449e-01,9.984559416770935059e-01,1.825172901153564453e-01
4.485540986061096191e-01,9.994246959686279297e-01,5.300116539001464844e-02
9.519245028495788574e-01,9.987808465957641602e-01,5.251669883728027344e-02
9.887738823890686035e-01,9.976531863212585449e-01,5.400252342224121094e-02
8.701571226119995117e-01,1.000000000000000000e+00,5.800199508666992188e-02
9.892099499702453613e-01,9.879307746887207031e-01,5.551862716674804688e-02
9.049282670021057129e-01,9.998984336853027344e-01,5.951666831970214844e-02
9.425032138824462891e-01,9.934968948364257812e-01,6.400632858276367188e-02
9.575120210647583008e-01,9.950239658355712891e-01,7.301521301269531250e-02
9.887272119522094727e-01,9.929703474044799805e-01,1.015264987945556641e-01
9.862681031227111816e-01,9.925667643547058105e-01,7.752799987792968750e-02
5.936352014541625977e-01,9.995965957641601562e-01,6.000781059265136719e-02
9.970945715904235840e-01,9.999661445617675781e-01,5.399990081787109375e-02
9.952967166900634766e-01,9.990795254707336426e-01,5.715394020080566406e-02
9.986749291419982910e-01,9.623509049415588379e-01,5.451560020446777344e-02
8.865409493446350098e-01,9.548319578170776367e-01,5.099892616271972656e-02
9.684202075004577637e-01,9.876796007156372070e-01,5.151009559631347656e-02
9.963766336441040039e-01,9.987893104553222656e-01,5.752015113830566406e-02
9.907547831535339355e-01,9.886273145675659180e-01,5.400490760803222656e-02
8.598066568374633789e-01,7.236294746398925781e-01,5.599761009216308594e-02
9.891713261604309082e-01,9.913547039031982422e-01,5.451369285583496094e-02
9.351885914802551270e-01,9.959823489189147949e-01,5.852842330932617188e-02
9.984067082405090332e-01,9.928700327873229980e-01,5.100035667419433594e-02
9.980992674827575684e-01,9.702935218811035156e-01,5.051040649414062500e-02
9.953512549400329590e-01,9.586383104324340820e-01,5.051445960998535156e-02
9.994851350784301758e-01,9.930770993232727051e-01,5.200171470642089844e-02
9.976813793182373047e-01,9.635776877403259277e-01,5.510306358337402344e-02
9.097862243652343750e-01,9.999746084213256836e-01,5.151724815368652344e-02
9.458402395248413086e-01,9.655966758728027344e-01,5.700469017028808594e-02
9.957369565963745117e-01,9.833900332450866699e-01,5.199980735778808594e-02
9.973375201225280762e-01,9.955193400382995605e-01,4.851365089416503906e-02
9.957147240638732910e-01,9.999188184738159180e-01,5.298852920532226562e-02
9.997762441635131836e-01,9.730250835418701172e-01,5.699992179870605469e-02
9.805139899253845215e-01,9.977250695228576660e-01,5.953049659729003906e-02
9.915301799774169922e-01,9.868776798248291016e-01,5.351471900939941406e-02
9.982715845108032227e-01,9.894792437553405762e-01,5.299997329711914062e-02
9.882944822311401367e-01,9.752779603004455566e-01,5.000019073486328125e-02
9.986528754234313965e-01,9.417743086814880371e-01,5.250883102416992188e-02
9.946869015693664551e-01,9.951020479202270508e-01,5.000472068786621094e-02
9.981929659843444824e-01,9.984312653541564941e-01,4.900074005126953125e-02
8.735787868499755859e-01,9.282324314117431641e-01,4.809737205505371094e-02
9.321666955947875977e-01,9.522961378097534180e-01,5.000090599060058594e-02
9.990155100822448730e-01,9.970523715019226074e-01,5.051112174987792969e-02
9.904848337173461914e-01,9.646609425544738770e-01,5.351495742797851562e-02
5.598176717758178711e-01,9.696513414382934570e-01,5.199909210205078125e-02
9.996554255485534668e-01,9.893257617950439453e-01,5.151104927062988281e-02
