precision,recall,time_taken
9.967188835144042969e-01,9.948344230651855469e-01,7.137159109115600586e+00
8.978260755538940430e-01,9.988061189651489258e-01,8.413410186767578125e-02
9.276339411735534668e-01,9.939975738525390625e-01,5.451655387878417969e-02
9.980497360229492188e-01,9.274458885192871094e-01,5.652260780334472656e-02
7.894380092620849609e-01,1.000000000000000000e+00,4.999780654907226562e-02
9.378058910369873047e-01,9.997966885566711426e-01,7.000184059143066406e-02
9.969958066940307617e-01,9.836000800132751465e-01,6.751775741577148438e-02
9.991275668144226074e-01,9.976976513862609863e-01,6.151795387268066406e-02
9.885227680206298828e-01,9.987196326255798340e-01,6.213951110839843750e-02
8.432128429412841797e-01,9.403163790702819824e-01,4.900121688842773438e-02
9.843041300773620605e-01,9.556222558021545410e-01,4.710531234741210938e-02
5.470497608184814453e-01,9.998655319213867188e-01,5.051493644714355469e-02
9.979074597358703613e-01,9.860823750495910645e-01,4.900145530700683594e-02
9.866248369216918945e-01,9.837211370468139648e-01,4.852151870727539062e-02
9.985190629959106445e-01,9.988203644752502441e-01,5.000615119934082031e-02
9.986596107482910156e-01,9.972954988479614258e-01,4.999947547912597656e-02
9.247805476188659668e-01,9.996705651283264160e-01,5.152368545532226562e-02
5.780169963836669922e-01,9.940210580825805664e-01,5.300450325012207031e-02
9.908939599990844727e-01,9.982305169105529785e-01,4.951596260070800781e-02
8.735619187355041504e-01,9.702964425086975098e-01,5.152988433837890625e-02
7.937087416648864746e-01,9.863322377204895020e-01,4.899787902832031250e-02
9.987277984619140625e-01,9.960465431213378906e-01,5.551075935363769531e-02
9.992628693580627441e-01,9.984760880470275879e-01,5.452156066894531250e-02
9.992451071739196777e-01,9.934412240982055664e-01,5.299782752990722656e-02
9.971347451210021973e-01,9.936743378639221191e-01,6.403541564941406250e-02
9.991771578788757324e-01,9.938614964485168457e-01,5.452537536621093750e-02
9.976732134819030762e-01,9.985144138336181641e-01,5.600309371948242188e-02
9.993283748626708984e-01,9.516736268997192383e-01,5.600166320800781250e-02
9.005010724067687988e-01,9.660574197769165039e-01,5.652189254760742188e-02
9.995123744010925293e-01,9.985790848731994629e-01,6.251668930053710938e-02
7.042174935340881348e-01,9.996706843376159668e-01,5.700111389160156250e-02
7.599004507064819336e-01,9.896988868713378906e-01,5.651164054870605469e-02
9.941074252128601074e-01,9.999594092369079590e-01,5.951595306396484375e-02
9.979783296585083008e-01,9.978964924812316895e-01,5.800557136535644531e-02
7.431488633155822754e-01,9.945347309112548828e-01,5.799841880798339844e-02
9.993639588356018066e-01,9.976379275321960449e-01,6.003928184509277344e-02
9.942761063575744629e-01,9.550411105155944824e-01,5.952715873718261719e-02
9.893401861190795898e-01,9.901590943336486816e-01,5.800461769104003906e-02
9.981697201728820801e-01,9.981697201728820801e-01,5.800080299377441406e-02
9.935062527656555176e-01,1.000000000000000000e+00,6.106901168823242188e-02
9.778472185134887695e-01,9.967911243438720703e-01,5.748748779296875000e-02
9.971033930778503418e-01,9.904456734657287598e-01,5.799651145935058594e-02
9.863211512565612793e-01,9.890737533569335938e-01,5.651235580444335938e-02
9.859004616737365723e-01,9.946358799934387207e-01,5.851888656616210938e-02
9.968189597129821777e-01,9.863601922988891602e-01,5.951786041259765625e-02
9.645607471466064453e-01,9.994912743568420410e-01,5.500125885009765625e-02
9.865813255310058594e-01,9.965276718139648438e-01,5.551815032958984375e-02
9.286994934082031250e-01,9.997460246086120605e-01,5.351209640502929688e-02
9.982240200042724609e-01,9.980331063270568848e-01,5.500102043151855469e-02
9.953021407127380371e-01,9.897341132164001465e-01,5.652427673339843750e-02
9.981017708778381348e-01,9.979154467582702637e-01,5.652236938476562500e-02
9.935525655746459961e-01,9.856442213058471680e-01,6.300878524780273438e-02
9.997996091842651367e-01,9.768974781036376953e-01,5.900096893310546875e-02
9.216259121894836426e-01,9.975630640983581543e-01,6.151747703552246094e-02
9.872301220893859863e-01,9.997126460075378418e-01,5.951142311096191406e-02
9.900534152984619141e-01,9.886875748634338379e-01,5.800414085388183594e-02
9.615560770034790039e-01,9.937075376510620117e-01,5.699849128723144531e-02
9.992295503616333008e-01,9.733407497406005859e-01,5.705714225769042969e-02
9.947177171707153320e-01,9.998728036880493164e-01,5.919122695922851562e-02
9.997069835662841797e-01,9.893190264701843262e-01,6.100010871887207031e-02
8.932329416275024414e-01,9.621563553810119629e-01,6.051611900329589844e-02
9.971097111701965332e-01,9.943975210189819336e-01,5.852437019348144531e-02
9.932273626327514648e-01,9.340926408767700195e-01,6.000351905822753906e-02
9.990600347518920898e-01,9.576337933540344238e-01,5.999898910522460938e-02
9.207019805908203125e-01,9.987887740135192871e-01,5.651640892028808594e-02
1.000000000000000000e+00,9.184848070144653320e-01,6.252074241638183594e-02
9.979858994483947754e-01,9.881440401077270508e-01,6.200528144836425781e-02
9.437494277954101562e-01,9.994816780090332031e-01,5.900120735168457031e-02
9.432795643806457520e-01,9.997968077659606934e-01,5.553078651428222656e-02
9.362688064575195312e-01,1.000000000000000000e+00,5.451297760009765625e-02
9.939233660697937012e-01,9.977648258209228516e-01,5.399513244628906250e-02
9.183806777000427246e-01,9.999661445617675781e-01,5.452108383178710938e-02
9.979794621467590332e-01,9.984701871871948242e-01,6.051898002624511719e-02
9.924979209899902344e-01,9.640505313873291016e-01,5.800342559814453125e-02
9.899244308471679688e-01,9.829655885696411133e-01,6.152081489562988281e-02
9.198787212371826172e-01,9.985254406929016113e-01,5.452036857604980469e-02
9.841153025627136230e-01,9.868358969688415527e-01,5.300521850585937500e-02
8.697925209999084473e-01,9.994787573814392090e-01,5.399680137634277344e-02
9.980815649032592773e-01,9.948642253875732422e-01,5.553054809570312500e-02
9.367434978485107422e-01,9.923609495162963867e-01,5.600476264953613281e-02
9.997549057006835938e-01,9.857425689697265625e-01,6.100225448608398438e-02
9.940155744552612305e-01,9.977648258209228516e-01,6.251788139343261719e-02
9.938237071037292480e-01,9.985747337341308594e-01,5.851626396179199219e-02
9.920266866683959961e-01,9.981082081794738770e-01,5.699968338012695312e-02
9.907990097999572754e-01,9.953782558441162109e-01,5.599784851074218750e-02
9.959482550621032715e-01,9.988967180252075195e-01,5.551910400390625000e-02
9.862552285194396973e-01,9.997189640998840332e-01,5.699968338012695312e-02
9.962095022201538086e-01,9.971544146537780762e-01,5.499601364135742188e-02
8.525324463844299316e-01,9.704807400703430176e-01,5.352878570556640625e-02
9.942247271537780762e-01,9.953424930572509766e-01,5.808854103088378906e-02
5.818103551864624023e-01,9.995965957641601562e-01,5.400013923645019531e-02
