precision,recall,time_taken
8.837445378303527832e-01,9.988858699798583984e-01,1.954600811004638672e-01
8.142116069793701172e-01,9.993571043014526367e-01,6.951546669006347656e-02
6.913794875144958496e-01,9.997557401657104492e-01,6.703877449035644531e-02
9.619497656822204590e-01,9.947780966758728027e-01,6.794524192810058594e-02
7.274661660194396973e-01,1.000000000000000000e+00,6.810212135314941406e-02
7.120627164840698242e-01,1.000000000000000000e+00,6.652235984802246094e-02
7.432399392127990723e-01,9.938747286796569824e-01,6.700587272644042969e-02
9.765605926513671875e-01,9.968264698982238770e-01,7.300519943237304688e-02
8.087384700775146484e-01,9.998309016227722168e-01,6.882357597351074219e-02
7.739011645317077637e-01,9.941022992134094238e-01,6.200718879699707031e-02
9.389023780822753906e-01,9.462246298789978027e-01,6.336832046508789062e-02
4.881026744842529297e-01,9.999327659606933594e-01,6.452393531799316406e-02
9.689982533454895020e-01,9.992842078208923340e-01,5.908918380737304688e-02
7.043568491935729980e-01,9.991722702980041504e-01,5.848550796508789062e-02
8.963795304298400879e-01,9.998079538345336914e-01,6.500005722045898438e-02
9.763320088386535645e-01,9.961754679679870605e-01,6.516599655151367188e-02
7.974253296852111816e-01,1.000000000000000000e+00,6.408524513244628906e-02
4.970094263553619385e-01,9.996398091316223145e-01,6.652259826660156250e-02
9.254837632179260254e-01,9.999534487724304199e-01,6.552410125732421875e-02
7.894275784492492676e-01,9.963446259498596191e-01,5.800175666809082031e-02
7.750331759452819824e-01,9.903122186660766602e-01,6.427741050720214844e-02
9.856474399566650391e-01,9.761322736740112305e-01,6.285738945007324219e-02
8.727805018424987793e-01,1.000000000000000000e+00,6.241965293884277344e-02
9.564996957778930664e-01,9.844025373458862305e-01,6.001019477844238281e-02
9.730278253555297852e-01,9.999560713768005371e-01,5.599784851074218750e-02
9.751813411712646484e-01,9.996248483657836914e-01,6.751322746276855469e-02
9.458453655242919922e-01,1.000000000000000000e+00,6.352353096008300781e-02
8.637782335281372070e-01,9.832989573478698730e-01,6.151866912841796875e-02
8.241842389106750488e-01,9.938565492630004883e-01,6.110668182373046875e-02
9.832447171211242676e-01,9.910685420036315918e-01,6.299924850463867188e-02
3.845335245132446289e-01,9.995389580726623535e-01,6.301093101501464844e-02
6.542467474937438965e-01,9.954617619514465332e-01,6.001806259155273438e-02
9.293691515922546387e-01,1.000000000000000000e+00,6.151413917541503906e-02
9.690396785736083984e-01,9.995356202125549316e-01,6.211352348327636719e-02
3.662224113941192627e-01,9.998561739921569824e-01,5.603909492492675781e-02
9.697604775428771973e-01,9.986030459403991699e-01,6.027770042419433594e-02
9.790654778480529785e-01,9.115716218948364258e-01,6.352519989013671875e-02
8.196226358413696289e-01,9.988043904304504395e-01,5.953478813171386719e-02
9.629756212234497070e-01,9.996994733810424805e-01,7.001447677612304688e-02
8.644323348999023438e-01,1.000000000000000000e+00,5.800151824951171875e-02
8.950673937797546387e-01,9.998802542686462402e-01,6.818604469299316406e-02
9.782221913337707520e-01,9.777064919471740723e-01,5.909252166748046875e-02
9.186212420463562012e-01,9.991838335990905762e-01,6.052875518798828125e-02
9.247242808341979980e-01,9.999042153358459473e-01,6.352210044860839844e-02
8.985677361488342285e-01,9.993323087692260742e-01,6.400299072265625000e-02
9.059511423110961914e-01,9.999682307243347168e-01,5.840563774108886719e-02
9.126281738281250000e-01,9.997844696044921875e-01,5.588579177856445312e-02
7.941265702247619629e-01,1.000000000000000000e+00,5.452942848205566406e-02
9.397364258766174316e-01,9.993717074394226074e-01,5.900359153747558594e-02
9.564353227615356445e-01,9.990195631980895996e-01,5.400347709655761719e-02
9.126923084259033203e-01,9.985066056251525879e-01,5.651974678039550781e-02
8.616148233413696289e-01,9.995735883712768555e-01,5.807089805603027344e-02
9.814109206199645996e-01,9.750701785087585449e-01,6.100869178771972656e-02
4.554756283760070801e-01,9.968385696411132812e-01,5.995893478393554688e-02
