image_path,label
OriginalImages\10066\20130101_084634.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130101_091628.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130101_114638.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130101_125725.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130101_154632.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130102_092726.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130102_121637.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130102_122724.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130102_124633.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130102_132725.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130103_114630.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130103_131639.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130103_144631.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130103_145734.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130103_151641.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130104_061642.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130104_075729.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130104_111637.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130104_144635.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130104_152728.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130105_081628.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130105_092727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130105_112733.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130105_122724.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130105_142724.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130106_071638.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130106_085727.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130106_105723.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130106_135724.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130107_082723.jpg,ValidationImages\Skyfinder\10066.png
OriginalImages\10066\20130107_095724.jpg,ValidationImages\Skyfinder\10066.png
