precision,recall,time_taken
9.936704635620117188e-01,9.540497660636901855e-01,6.200432777404785156e-02
9.751792550086975098e-01,9.201003909111022949e-01,1.155154705047607422e-01
9.891629815101623535e-01,9.906473755836486816e-01,4.751777648925781250e-02
9.987974762916564941e-01,6.633389592170715332e-01,6.451463699340820312e-02
7.618551254272460938e-01,9.291619062423706055e-01,1.125152111053466797e-01
9.191790223121643066e-01,9.999322295188903809e-01,5.524468421936035156e-02
9.973399639129638672e-01,7.161298990249633789e-01,6.600379943847656250e-02
9.980533123016357422e-01,8.135092258453369141e-01,1.055133342742919922e-01
9.734561443328857422e-01,9.904819130897521973e-01,5.100035667419433594e-02
9.886367321014404297e-01,8.899400830268859863e-01,8.851957321166992188e-02
7.092914581298828125e-01,9.923970699310302734e-01,3.900027275085449219e-02
8.995841741561889648e-01,9.890405535697937012e-01,5.851531028747558594e-02
9.940533041954040527e-01,9.970574378967285156e-01,7.951521873474121094e-02
9.043120741844177246e-01,9.508875012397766113e-01,6.500577926635742188e-02
9.894302487373352051e-01,9.861187338829040527e-01,5.999946594238281250e-02
9.621238112449645996e-01,9.999453425407409668e-01,8.048224449157714844e-02
9.616116285324096680e-01,8.885545730590820312e-01,4.850292205810546875e-02
7.667241734452545643e-04,8.644287590868771076e-04,1.025176048278808594e-01
9.941314458847045898e-01,9.860302805900573730e-01,5.451297760009765625e-02
9.990499019622802734e-01,4.199047684669494629e-01,7.752299308776855469e-02
7.663343548774719238e-01,9.889855384826660156e-01,5.600070953369140625e-02
9.977777004241943359e-01,9.989702701568603516e-01,4.700326919555664062e-02
9.975711107254028320e-01,9.805699586868286133e-01,6.551718711853027344e-02
9.785435199737548828e-01,9.896234273910522461e-01,3.700709342956542969e-02
9.902542829513549805e-01,9.998242855072021484e-01,4.799699783325195312e-02
9.936466813087463379e-01,9.920540452003479004e-01,5.751657485961914062e-02
9.989148378372192383e-01,1.478358656167984009e-01,6.151437759399414062e-02
9.279932379722595215e-01,9.369625449180603027e-01,7.100725173950195312e-02
9.934298396110534668e-01,9.846413731575012207e-01,5.300021171569824219e-02
1.000000000000000000e+00,7.662390470504760742e-01,6.815767288208007812e-02
8.864937424659729004e-01,9.994730949401855469e-01,1.005120277404785156e-01
9.223900437355041504e-01,9.896988868713378906e-01,7.751774787902832031e-02
9.899047613143920898e-01,9.872523546218872070e-01,6.551861763000488281e-02
9.922206401824951172e-01,9.965032935142517090e-01,6.951594352722167969e-02
9.703353643417358398e-01,9.738242626190185547e-01,8.252024650573730469e-02
9.987767338752746582e-01,9.954282045364379883e-01,5.500698089599609375e-02
9.070367217063903809e-01,9.831748604774475098e-01,5.299973487854003906e-02
9.592107534408569336e-01,9.970569014549255371e-01,4.951047897338867188e-02
9.890853762626647949e-01,9.976506829261779785e-01,7.552099227905273438e-02
9.919059276580810547e-01,1.000000000000000000e+00,5.751752853393554688e-02
9.791858792304992676e-01,9.665940403938293457e-01,6.700181961059570312e-02
1.000000000000000000e+00,4.138461053371429443e-01,8.100104331970214844e-02
9.844356179237365723e-01,9.758306741714477539e-01,1.715173721313476562e-01
9.809015989303588867e-01,9.999281764030456543e-01,6.050825119018554688e-02
1.000000000000000000e+00,5.804718136787414551e-01,8.051443099975585938e-02
9.982146024703979492e-01,9.954851865768432617e-01,6.551480293273925781e-02
9.872625470161437988e-01,9.670251011848449707e-01,8.151650428771972656e-02
9.712874889373779297e-01,9.940820932388305664e-01,5.952811241149902344e-02
9.893766641616821289e-01,9.973228573799133301e-01,6.800603866577148438e-02
9.747950434684753418e-01,9.189687967300415039e-01,6.700110435485839844e-02
9.976021647453308105e-01,9.967020153999328613e-01,8.750772476196289062e-02
9.292433261871337891e-01,9.548006653785705566e-01,6.450986862182617188e-02
9.786710143089294434e-01,9.732102155685424805e-01,4.551529884338378906e-02
9.922873973846435547e-01,9.914377927780151367e-01,6.652116775512695312e-02
9.850087761878967285e-01,9.944203495979309082e-01,7.699918746948242188e-02
9.316868782043457031e-01,9.194334745407104492e-01,4.899883270263671875e-02
9.788721203804016113e-01,9.770680665969848633e-01,8.350586891174316406e-02
9.782371520996093750e-01,9.959211349487304688e-01,5.051541328430175781e-02
1.000000000000000000e+00,7.132773995399475098e-01,8.216691017150878906e-02
9.924446940422058105e-01,9.586293697357177734e-01,5.138373374938964844e-02
9.851700663566589355e-01,9.937644004821777344e-01,5.199766159057617188e-02
9.940340518951416016e-01,2.299853861331939697e-01,7.151055335998535156e-02
1.000000000000000000e+00,7.297851890325546265e-02,7.310962677001953125e-02
9.920284748077392578e-01,1.000000000000000000e+00,5.817747116088867188e-02
8.768372535705566406e-01,9.974722266197204590e-01,4.026842117309570312e-02
9.774825572967529297e-01,3.085068464279174805e-01,7.152175903320312500e-02
9.939607977867126465e-01,9.306944012641906738e-01,9.851670265197753906e-02
9.195436835289001465e-01,1.000000000000000000e+00,8.552241325378417969e-02
9.950181841850280762e-01,9.993650317192077637e-01,6.951451301574707031e-02
9.789071679115295410e-01,9.981687068939208984e-01,6.753945350646972656e-02
9.726406931877136230e-01,3.757857978343963623e-01,5.399656295776367188e-02
8.884299993515014648e-01,9.985092282295227051e-01,8.951115608215332031e-02
9.883543848991394043e-01,9.737474918365478516e-01,8.752369880676269531e-02
9.377304315567016602e-01,9.884486794471740723e-01,5.651307106018066406e-02
9.812904596328735352e-01,9.942340850830078125e-01,1.350433826446533203e-01
9.259632825851440430e-01,9.915740489959716797e-01,4.399943351745605469e-02
9.981853961944580078e-01,8.979253172874450684e-01,1.800513267517089844e-01
8.195865750312805176e-01,9.996159076690673828e-01,5.752325057983398438e-02
9.820037484169006348e-01,9.987433552742004395e-01,8.751821517944335938e-02
9.373099803924560547e-01,9.988746047019958496e-01,7.151889801025390625e-02
9.974856972694396973e-01,9.778648018836975098e-01,5.000400543212890625e-02
9.895740151405334473e-01,9.767636656761169434e-01,4.799914360046386719e-02
9.927625656127929688e-01,9.775224328041076660e-01,5.951762199401855469e-02
9.892899394035339355e-01,9.622117280960083008e-01,6.251502037048339844e-02
9.898364543914794922e-01,9.958571791648864746e-01,5.800127983093261719e-02
9.952952861785888672e-01,9.997425675392150879e-01,4.500079154968261719e-02
9.937421083450317383e-01,9.818919301033020020e-01,5.951642990112304688e-02
9.854795336723327637e-01,9.780015349388122559e-01,5.400514602661132812e-02
8.998697400093078613e-01,9.973890185356140137e-01,4.900050163269042969e-02
9.988429546356201172e-01,1.386412978172302246e-01,6.151771545410156250e-02
8.929311633110046387e-01,9.852080941200256348e-01,5.651879310607910156e-02
9.839282035827636719e-01,9.998221993446350098e-01,5.198764801025390625e-02
9.983048439025878906e-01,9.961819052696228027e-01,4.999971389770507812e-02
9.885110259056091309e-01,9.976251721382141113e-01,4.728293418884277344e-02
9.730871915817260742e-01,9.029355645179748535e-01,6.400489807128906250e-02
9.801723957061767578e-01,9.881160855293273926e-01,6.799364089965820312e-02
9.297174811363220215e-01,9.636130928993225098e-01,6.051349639892578125e-02
9.994387030601501465e-01,9.949710369110107422e-01,7.151365280151367188e-02
9.942110776901245117e-01,9.996266365051269531e-01,6.051588058471679688e-02
9.905765056610107422e-01,9.997144937515258789e-01,5.100154876708984375e-02
9.760652780532836914e-01,1.000000000000000000e+00,6.699943542480468750e-02
9.984697699546813965e-01,9.750413298606872559e-01,9.451127052307128906e-02
9.605152010917663574e-01,9.895213246345520020e-01,8.751034736633300781e-02
9.541772603988647461e-01,9.996760487556457520e-01,5.699849128723144531e-02
9.943839311599731445e-01,2.665028274059295654e-01,6.651782989501953125e-02
9.893561601638793945e-01,1.000000000000000000e+00,8.751392364501953125e-02
9.825090169906616211e-01,9.994491934776306152e-01,5.651640892028808594e-02
9.908355474472045898e-01,9.867753386497497559e-01,5.500149726867675781e-02
9.597797989845275879e-01,9.915214180946350098e-01,4.100108146667480469e-02
9.980003237724304199e-01,9.701599478721618652e-01,5.873537063598632812e-02
9.991394281387329102e-01,9.898373484611511230e-01,7.852458953857421875e-02
9.594402313232421875e-01,9.474252462387084961e-01,5.800509452819824219e-02
9.226549863815307617e-01,9.572828412055969238e-01,1.555171012878417969e-01
9.764658808708190918e-01,9.828956723213195801e-01,4.850745201110839844e-02
9.917782545089721680e-01,6.347380876541137695e-01,5.651855468750000000e-02
9.974115490913391113e-01,9.990621805191040039e-01,4.300642013549804688e-02
9.830184578895568848e-01,8.251664042472839355e-01,8.751177787780761719e-02
9.945583939552307129e-01,9.817525744438171387e-01,4.051017761230468750e-02
9.612568616867065430e-01,8.999783992767333984e-01,6.252098083496093750e-02
9.702584743499755859e-01,9.999180436134338379e-01,8.951616287231445312e-02
9.819987416267395020e-01,9.993534088134765625e-01,4.400038719177246094e-02
9.788972139358520508e-01,9.853814244270324707e-01,6.651139259338378906e-02
9.975650310516357422e-01,9.989332556724548340e-01,4.851603507995605469e-02
8.234870433807373047e-01,1.000000000000000000e+00,6.151962280273437500e-02
9.738929271697998047e-01,9.762519001960754395e-01,9.551858901977539062e-02
9.503654241561889648e-01,9.826214909553527832e-01,4.219675064086914062e-02
9.993993639945983887e-01,9.754103422164916992e-01,5.599832534790039062e-02
9.289799928665161133e-01,9.695828557014465332e-01,6.750893592834472656e-02
9.698893427848815918e-01,8.898437023162841797e-01,6.051158905029296875e-02
9.971342682838439941e-01,9.981060028076171875e-01,3.900146484375000000e-02
9.928668737411499023e-01,9.888840317726135254e-01,4.899764060974121094e-02
9.579625129699707031e-01,9.409423470497131348e-01,5.751729011535644531e-02
9.777862429618835449e-01,9.942263364791870117e-01,5.951809883117675781e-02
9.874692559242248535e-01,9.724330902099609375e-01,8.051943778991699219e-02
9.941701889038085938e-01,9.944753050804138184e-01,4.999899864196777344e-02
9.638999104499816895e-01,9.584367871284484863e-01,8.751320838928222656e-02
9.751756191253662109e-01,1.000000000000000000e+00,5.000138282775878906e-02
9.689338803291320801e-01,8.889128565788269043e-01,5.751609802246093750e-02
9.999122023582458496e-01,6.997696161270141602e-01,7.251262664794921875e-02
9.840922355651855469e-01,9.822265505790710449e-01,4.199719429016113281e-02
9.957305788993835449e-01,9.992277026176452637e-01,4.350924491882324219e-02
9.826125502586364746e-01,8.897860050201416016e-01,6.552553176879882812e-02
9.988232851028442383e-01,9.304156899452209473e-01,6.852698326110839844e-02
7.648758292198181152e-01,9.883068203926086426e-01,3.800034523010253906e-02
9.949451684951782227e-01,8.065657615661621094e-01,4.951763153076171875e-02
1.000000000000000000e+00,2.584748864173889160e-01,7.151889801025390625e-02
9.866048097610473633e-01,9.944674968719482422e-01,6.100559234619140625e-02
9.932495951652526855e-01,9.286417961120605469e-01,5.199909210205078125e-02
9.979567527770996094e-01,9.968923926353454590e-01,3.552317619323730469e-02
9.923442602157592773e-01,9.544582366943359375e-01,8.952784538269042969e-02
9.989568591117858887e-01,9.972569346427917480e-01,5.101084709167480469e-02
9.979574084281921387e-01,9.972050189971923828e-01,4.500365257263183594e-02
9.984137415885925293e-01,9.751600027084350586e-01,5.651688575744628906e-02
9.653586149215698242e-01,9.941180348396301270e-01,1.025233268737792969e-01
9.935470819473266602e-01,9.994115829467773438e-01,1.245319843292236328e-01
9.976457357406616211e-01,9.973888993263244629e-01,4.200291633605957031e-02
9.771677255630493164e-01,6.809528470039367676e-01,6.153178215026855469e-02
9.803010225296020508e-01,9.947009682655334473e-01,8.853197097778320312e-02
